Date,Adj Close,%Change,Returns on 10000
20-08-2020,208.943,0.00%,10000.00
21-08-2020,210.995,0.98%,10098.19
24-08-2020,214.485,1.65%,10265.24
25-08-2020,217.673,1.49%,10417.80
26-08-2020,220.120,1.12%,10534.95
27-08-2020,221.485,0.62%,10600.28
28-08-2020,228.205,3.03%,10921.86
31-08-2020,220.335,-3.45%,10545.21
01-09-2020,220.811,0.22%,10567.99
02-09-2020,221.308,0.23%,10591.79
03-09-2020,219.697,-0.73%,10514.69
04-09-2020,215.153,-2.07%,10297.20
07-09-2020,214.230,-0.43%,10253.05
08-09-2020,212.371,-0.87%,10164.09
09-09-2020,208.353,-1.89%,9971.76
10-09-2020,211.036,1.29%,10100.17
11-09-2020,211.863,0.39%,10139.78
14-09-2020,211.050,-0.38%,10100.86
15-09-2020,213.308,1.07%,10208.93
16-09-2020,214.319,0.47%,10257.32
17-09-2020,212.029,-1.07%,10147.68
18-09-2020,210.018,-0.95%,10051.44
21-09-2020,202.603,-3.53%,9696.55
22-09-2020,200.509,-1.03%,9596.36
23-09-2020,200.587,0.04%,9600.06
24-09-2020,194.534,-3.02%,9310.38
25-09-2020,200.133,2.88%,9578.37
28-09-2020,206.224,3.04%,9869.86
29-09-2020,204.253,-0.96%,9775.56
30-09-2020,204.380,0.06%,9781.62
01-10-2020,209.729,2.62%,10037.63
05-10-2020,209.864,0.06%,10044.10
06-10-2020,213.611,1.79%,10223.43
07-10-2020,213.341,-0.13%,10210.48
08-10-2020,214.439,0.51%,10263.05
09-10-2020,219.114,2.18%,10486.79
12-10-2020,216.924,-1.00%,10381.97
13-10-2020,214.580,-1.08%,10269.77
14-10-2020,217.986,1.59%,10432.82
15-10-2020,212.038,-2.73%,10148.14
16-10-2020,214.425,1.13%,10262.37
19-10-2020,220.273,2.73%,10542.27
20-10-2020,220.479,0.09%,10552.14
21-10-2020,222.150,0.76%,10632.10
22-10-2020,220.524,-0.73%,10554.27
23-10-2020,220.891,0.17%,10571.85
26-10-2020,217.094,-1.72%,10390.13
27-10-2020,220.913,1.76%,10572.89
28-10-2020,217.091,-1.73%,10389.99
29-10-2020,216.572,-0.24%,10365.15
30-10-2020,216.300,-0.13%,10352.12
02-11-2020,222.627,2.93%,10654.94
03-11-2020,227.594,2.23%,10892.64
04-11-2020,227.648,0.02%,10895.24
05-11-2020,232.558,2.16%,11130.23
06-11-2020,236.110,1.53%,11300.22
09-11-2020,241.339,2.21%,11550.46
10-11-2020,247.923,2.73%,11865.61
11-11-2020,248.755,0.34%,11905.38
12-11-2020,246.193,-1.03%,11782.80
13-11-2020,248.599,0.98%,11897.92
17-11-2020,253.963,2.16%,12154.67
18-11-2020,259.203,2.06%,12405.44
19-11-2020,253.422,-2.23%,12128.75
20-11-2020,256.639,1.27%,12282.74
23-11-2020,255.961,-0.26%,12250.27
24-11-2020,260.288,1.69%,12457.36
25-11-2020,257.809,-0.95%,12338.71
26-11-2020,260.403,1.01%,12462.89
27-11-2020,262.387,0.76%,12557.84
01-12-2020,264.130,0.66%,12641.26
02-12-2020,263.100,-0.39%,12591.94
03-12-2020,264.908,0.69%,12678.47
04-12-2020,268.849,1.49%,12867.11
07-12-2020,271.177,0.87%,12978.50
08-12-2020,271.590,0.15%,12998.27
09-12-2020,273.726,0.79%,13100.51
10-12-2020,272.020,-0.62%,13018.87
11-12-2020,272.969,0.35%,13064.26
14-12-2020,274.995,0.74%,13161.24
15-12-2020,274.535,-0.17%,13139.25
16-12-2020,274.662,0.05%,13145.29
17-12-2020,275.153,0.18%,13168.83
18-12-2020,274.204,-0.34%,13123.40
21-12-2020,262.068,-4.43%,12542.58
22-12-2020,263.827,0.67%,12626.73
23-12-2020,268.063,1.61%,12829.50
24-12-2020,270.793,1.02%,12960.15
28-12-2020,275.053,1.57%,13164.02
29-12-2020,277.158,0.77%,13264.78
30-12-2020,276.664,-0.18%,13241.11
31-12-2020,276.374,-0.10%,13227.27
01-01-2021,277.920,0.56%,13301.24
04-01-2021,280.729,1.01%,13435.68
05-01-2021,284.542,1.36%,13618.18
06-01-2021,285.779,0.43%,13677.37
07-01-2021,288.071,0.80%,13787.08
08-01-2021,289.059,0.34%,13834.37
11-01-2021,287.581,-0.51%,13763.61
12-01-2021,291.775,1.46%,13964.36
13-01-2021,293.237,0.50%,14034.31
14-01-2021,292.925,-0.11%,14019.36
15-01-2021,289.450,-1.19%,13853.05
18-01-2021,284.495,-1.71%,13615.92
19-01-2021,290.704,2.18%,13913.08
20-01-2021,293.083,0.82%,14026.95
21-01-2021,289.925,-1.08%,13875.78
22-01-2021,283.192,-2.32%,13553.55
25-01-2021,282.749,-0.16%,13532.36
27-01-2021,276.340,-2.27%,13225.62
28-01-2021,275.947,-0.14%,13206.82
29-01-2021,276.444,0.18%,13230.60
01-02-2021,296.187,7.14%,14175.51
02-02-2021,303.929,2.61%,14546.01
03-02-2021,308.187,1.40%,14749.81
04-02-2021,314.227,1.96%,15038.90
05-02-2021,315.649,0.45%,15106.95
08-02-2021,319.567,1.24%,15294.46
09-02-2021,320.470,0.28%,15337.70
10-02-2021,320.802,0.10%,15353.56
11-02-2021,321.385,0.18%,15381.48
12-02-2021,324.234,0.89%,15517.82
15-02-2021,332.634,2.59%,15919.84
16-02-2021,332.029,-0.18%,15890.89
17-02-2021,332.956,0.28%,15935.27
18-02-2021,333.779,0.25%,15974.65
19-02-2021,327.813,-1.79%,15689.11
22-02-2021,321.492,-1.93%,15386.58
23-02-2021,322.380,0.28%,15429.10
24-02-2021,330.387,2.48%,15812.29
25-02-2021,333.221,0.86%,15947.97
26-02-2021,320.813,-3.72%,15354.08
01-03-2021,324.383,1.11%,15524.94
02-03-2021,325.927,0.48%,15598.83
03-03-2021,334.061,2.50%,15988.15
04-03-2021,330.853,-0.96%,15834.59
05-03-2021,324.601,-1.89%,15535.40
08-03-2021,325.499,0.28%,15578.36
09-03-2021,328.899,1.04%,15741.09
10-03-2021,329.757,0.26%,15782.18
12-03-2021,325.912,-1.17%,15598.14
15-03-2021,323.513,-0.74%,15483.32
16-03-2021,321.321,-0.68%,15378.40
17-03-2021,315.041,-1.95%,15077.84
18-03-2021,311.375,-1.16%,14902.37
19-03-2021,313.295,0.62%,14994.29
22-03-2021,309.437,-1.23%,14809.63
23-03-2021,313.197,1.22%,14989.59
24-03-2021,305.453,-2.47%,14618.96
25-03-2021,301.966,-1.14%,14452.11
26-03-2021,304.980,1.00%,14596.31
30-03-2021,307.228,0.74%,14703.90
31-03-2021,306.039,-0.39%,14647.01
01-04-2021,311.615,1.82%,14913.88
05-04-2021,301.717,-3.18%,14440.19
06-04-2021,301.147,-0.19%,14412.89
07-04-2021,305.941,1.59%,14642.33
08-04-2021,304.763,-0.38%,14585.97
09-04-2021,302.932,-0.60%,14498.32
12-04-2021,285.251,-5.84%,13652.09
13-04-2021,294.451,3.23%,14092.42
15-04-2021,295.846,0.47%,14159.17
16-04-2021,296.527,0.23%,14191.77
19-04-2021,289.622,-2.33%,13861.30
20-04-2021,289.995,0.13%,13879.15
22-04-2021,294.603,1.59%,14099.71
23-04-2021,294.627,0.01%,14100.84
26-04-2021,299.671,1.71%,14342.23
27-04-2021,303.586,1.31%,14529.63
28-04-2021,310.984,2.44%,14883.70
29-04-2021,311.101,0.04%,14889.27
30-04-2021,306.981,-1.32%,14692.09
03-05-2021,305.865,-0.36%,14638.68
04-05-2021,306.316,0.15%,14660.29
05-05-2021,310.240,1.28%,14848.08
06-05-2021,313.026,0.90%,14981.42
07-05-2021,315.874,0.91%,15117.70
10-05-2021,318.852,0.94%,15260.26
11-05-2021,318.664,-0.06%,15251.22
12-05-2021,316.491,-0.68%,15147.26
14-05-2021,313.506,-0.94%,15004.39
17-05-2021,324.105,3.38%,15511.66
18-05-2021,327.461,1.04%,15672.26
19-05-2021,327.377,-0.03%,15668.27
20-05-2021,326.121,-0.38%,15608.13
21-05-2021,336.309,3.12%,16095.75
24-05-2021,339.733,1.02%,16259.61
25-05-2021,337.429,-0.68%,16149.36
26-05-2021,339.068,0.49%,16227.78
27-05-2021,342.533,1.02%,16393.59
28-05-2021,341.939,-0.17%,16365.18
31-05-2021,345.188,0.95%,16520.68
01-06-2021,344.964,-0.06%,16509.97
02-06-2021,348.564,1.04%,16682.26
03-06-2021,353.350,1.37%,16911.33
04-06-2021,353.168,-0.05%,16902.60
07-06-2021,356.129,0.84%,17044.33
08-06-2021,352.635,-0.98%,16877.08
09-06-2021,349.687,-0.84%,16735.99
10-06-2021,354.896,1.49%,16985.30
11-06-2021,353.162,-0.49%,16902.33
14-06-2021,351.771,-0.39%,16835.72
15-06-2021,354.406,0.75%,16961.85
16-06-2021,351.812,-0.73%,16837.72
17-06-2021,347.421,-1.25%,16627.55
18-06-2021,344.444,-0.86%,16485.05
21-06-2021,347.873,1.00%,16649.18
22-06-2021,347.688,-0.05%,16640.35
23-06-2021,345.637,-0.59%,16542.15
