Date,Adj Close,%Change,Returns on 10000
20-08-2020,64.564,0.00%,10000.00
21-08-2020,65.117,0.86%,10085.62
24-08-2020,65.693,0.89%,10174.97
25-08-2020,65.569,-0.19%,10155.77
26-08-2020,65.718,0.23%,10178.80
27-08-2020,65.294,-0.64%,10113.18
28-08-2020,65.148,-0.22%,10090.44
31-08-2020,62.476,-4.10%,9676.58
01-09-2020,63.122,1.03%,9776.72
02-09-2020,64.091,1.54%,9926.80
03-09-2020,64.245,0.24%,9950.62
04-09-2020,63.092,-1.79%,9772.05
07-09-2020,63.169,0.12%,9783.97
08-09-2020,62.504,-1.05%,9680.90
09-09-2020,62.293,-0.34%,9648.24
10-09-2020,63.437,1.84%,9825.43
11-09-2020,63.770,0.53%,9877.10
14-09-2020,64.284,0.81%,9956.69
15-09-2020,65.128,1.31%,10087.43
16-09-2020,66.068,1.44%,10232.96
17-09-2020,65.840,-0.34%,10197.68
18-09-2020,66.319,0.73%,10271.86
21-09-2020,64.371,-2.94%,9970.09
22-09-2020,63.753,-0.96%,9874.48
23-09-2020,64.489,1.15%,9988.41
24-09-2020,63.284,-1.87%,9801.84
25-09-2020,64.488,1.90%,9988.32
28-09-2020,65.653,1.81%,10168.70
29-09-2020,65.662,0.01%,10170.16
30-09-2020,65.695,0.05%,10175.27
01-10-2020,65.744,0.07%,10182.83
05-10-2020,66.419,1.03%,10287.33
06-10-2020,66.909,0.74%,10363.21
07-10-2020,66.642,-0.40%,10321.91
08-10-2020,66.806,0.25%,10347.30
09-10-2020,66.210,-0.89%,10254.99
12-10-2020,65.992,-0.33%,10221.24
13-10-2020,65.807,-0.28%,10192.62
14-10-2020,65.796,-0.02%,10190.82
15-10-2020,64.532,-1.92%,9995.04
16-10-2020,65.148,0.95%,10090.49
19-10-2020,65.128,-0.03%,10087.33
20-10-2020,65.292,0.25%,10112.76
21-10-2020,65.170,-0.19%,10093.88
22-10-2020,65.461,0.45%,10138.93
23-10-2020,65.844,0.59%,10198.33
26-10-2020,65.005,-1.27%,10068.38
27-10-2020,65.204,0.31%,10099.16
28-10-2020,65.188,-0.02%,10096.66
29-10-2020,65.477,0.44%,10141.44
30-10-2020,65.900,0.65%,10206.97
02-11-2020,66.019,0.18%,10225.36
03-11-2020,66.352,0.50%,10276.91
04-11-2020,66.987,0.96%,10375.26
05-11-2020,68.481,2.23%,10606.72
06-11-2020,68.609,0.19%,10626.61
09-11-2020,68.786,0.26%,10653.99
10-11-2020,68.196,-0.86%,10562.61
11-11-2020,68.200,0.01%,10563.16
12-11-2020,68.681,0.71%,10637.76
13-11-2020,68.970,0.42%,10682.50
17-11-2020,69.982,1.47%,10839.30
18-11-2020,70.318,0.48%,10891.21
19-11-2020,70.052,-0.38%,10850.14
