Date,Adj Close,%Change,Returns on 10000
20-08-2020,75.159,0.00%,10000.00
21-08-2020,75.552,0.52%,10052.30
24-08-2020,76.181,0.83%,10135.91
25-08-2020,76.219,0.05%,10140.99
26-08-2020,76.749,0.70%,10211.54
27-08-2020,76.813,0.08%,10220.04
28-08-2020,77.398,0.76%,10297.82
31-08-2020,75.674,-2.23%,10068.44
01-09-2020,76.221,0.72%,10141.30
02-09-2020,76.666,0.58%,10200.51
03-09-2020,76.619,-0.06%,10194.13
04-09-2020,75.334,-1.68%,10023.26
07-09-2020,75.472,0.18%,10041.64
08-09-2020,75.222,-0.33%,10008.29
09-09-2020,74.960,-0.35%,9973.46
10-09-2020,76.098,1.52%,10124.87
11-09-2020,76.197,0.13%,10138.00
14-09-2020,76.037,-0.21%,10116.83
15-09-2020,76.581,0.71%,10189.12
16-09-2020,77.130,0.72%,10262.16
17-09-2020,76.542,-0.76%,10183.96
18-09-2020,76.468,-0.10%,10174.06
21-09-2020,74.777,-2.21%,9949.11
22-09-2020,74.133,-0.86%,9863.45
23-09-2020,73.988,-0.20%,9844.10
24-09-2020,71.816,-2.93%,9555.20
25-09-2020,73.440,2.26%,9771.30
28-09-2020,74.617,1.60%,9927.87
29-09-2020,74.583,-0.05%,9923.28
30-09-2020,74.749,0.22%,9945.40
01-10-2020,75.874,1.51%,10095.08
05-10-2020,76.447,0.76%,10171.30
06-10-2020,77.503,1.38%,10311.82
07-10-2020,78.011,0.66%,10379.38
08-10-2020,78.647,0.82%,10464.00
09-10-2020,79.175,0.67%,10534.34
12-10-2020,79.287,0.14%,10549.18
13-10-2020,79.311,0.03%,10552.31
14-10-2020,79.573,0.33%,10587.18
15-10-2020,77.640,-2.43%,10330.03
16-10-2020,78.185,0.70%,10402.60
19-10-2020,78.920,0.94%,10500.28
20-10-2020,79.077,0.20%,10521.25
21-10-2020,79.348,0.34%,10557.28
22-10-2020,79.080,-0.34%,10521.64
23-10-2020,79.373,0.37%,10560.61
26-10-2020,78.292,-1.36%,10416.77
27-10-2020,79.100,1.03%,10524.27
28-10-2020,78.059,-1.32%,10385.81
29-10-2020,77.690,-0.47%,10336.66
30-10-2020,77.501,-0.24%,10311.51
02-11-2020,77.678,0.23%,10335.07
03-11-2020,78.637,1.23%,10462.66
04-11-2020,79.302,0.85%,10551.12
05-11-2020,80.709,1.77%,10738.35
06-11-2020,81.661,1.18%,10864.99
09-11-2020,82.975,1.61%,11039.80
10-11-2020,84.105,1.36%,11190.19
11-11-2020,84.889,0.93%,11294.58
12-11-2020,84.501,-0.46%,11242.96
13-11-2020,84.695,0.23%,11268.69
17-11-2020,85.724,1.21%,11405.57
18-11-2020,86.149,0.50%,11462.24
19-11-2020,85.041,-1.29%,11314.71
20-11-2020,85.620,0.68%,11391.76
23-11-2020,86.068,0.52%,11451.46
24-11-2020,86.926,1.00%,11565.50
25-11-2020,85.615,-1.51%,11391.12
26-11-2020,86.471,1.00%,11505.03
27-11-2020,86.351,-0.14%,11489.00
01-12-2020,87.283,1.08%,11613.05
02-12-2020,87.314,0.04%,11617.14
03-12-2020,87.447,0.15%,11634.83
04-12-2020,88.276,0.95%,11745.21
07-12-2020,88.923,0.73%,11831.31
08-12-2020,89.167,0.27%,11863.67
09-12-2020,90.074,1.02%,11984.36
10-12-2020,89.736,-0.37%,11939.42
11-12-2020,89.972,0.26%,11970.88
14-12-2020,90.267,0.33%,12010.05
15-12-2020,90.331,0.07%,12018.64
16-12-2020,91.095,0.85%,12120.24
17-12-2020,91.501,0.45%,12174.25
18-12-2020,91.633,0.14%,12191.75
21-12-2020,88.756,-3.14%,11808.98
22-12-2020,89.673,1.03%,11931.02
23-12-2020,90.570,1.00%,12050.44
24-12-2020,91.557,1.09%,12181.64
28-12-2020,92.381,0.90%,12291.36
29-12-2020,92.777,0.43%,12343.98
30-12-2020,93.105,0.35%,12387.63
31-12-2020,93.103,0.00%,12387.34
01-01-2021,93.347,0.26%,12419.90
04-01-2021,94.108,0.81%,12521.07
05-01-2021,94.551,0.47%,12580.06
06-01-2021,94.196,-0.38%,12532.84
07-01-2021,94.137,-0.06%,12524.95
08-01-2021,95.534,1.48%,12710.85
11-01-2021,96.450,0.96%,12832.75
12-01-2021,96.974,0.54%,12902.47
13-01-2021,96.983,0.01%,12903.68
14-01-2021,97.198,0.22%,12932.18
15-01-2021,96.119,-1.11%,12788.66
18-01-2021,95.099,-1.06%,12652.97
19-01-2021,96.696,1.68%,12865.39
20-01-2021,97.524,0.86%,12975.62
21-01-2021,97.169,-0.36%,12928.36
22-01-2021,95.716,-1.50%,12735.04
25-01-2021,94.830,-0.93%,12617.14
27-01-2021,93.029,-1.90%,12377.60
28-01-2021,92.028,-1.08%,12244.43
29-01-2021,90.809,-1.32%,12082.21
01-02-2021,95.111,4.74%,12654.54
02-02-2021,97.554,2.57%,12979.67
03-02-2021,98.499,0.97%,13105.36
04-02-2021,99.199,0.71%,13198.46
05-02-2021,99.390,0.19%,13223.83
08-02-2021,100.665,1.28%,13393.57
09-02-2021,100.630,-0.04%,13388.84
10-02-2021,100.610,-0.02%,13386.27
11-02-2021,101.077,0.46%,13448.35
12-02-2021,101.010,-0.07%,13439.46
15-02-2021,102.030,1.01%,13575.20
16-02-2021,102.022,-0.01%,13574.03
17-02-2021,101.355,-0.65%,13485.34
18-02-2021,100.756,-0.59%,13405.67
19-02-2021,99.843,-0.91%,13284.14
22-02-2021,97.873,-1.97%,13022.08
23-02-2021,98.086,0.22%,13050.36
24-02-2021,99.914,1.86%,13293.67
25-02-2021,100.682,0.77%,13395.77
26-02-2021,96.896,-3.76%,12892.01
01-03-2021,98.444,1.60%,13098.00
02-03-2021,99.493,1.07%,13237.56
03-03-2021,101.665,2.18%,13526.62
04-03-2021,100.566,-1.08%,13380.32
05-03-2021,99.615,-0.95%,13253.79
08-03-2021,99.751,0.14%,13271.90
09-03-2021,100.698,0.95%,13397.88
10-03-2021,101.206,0.50%,13465.51
12-03-2021,100.246,-0.95%,13337.77
15-03-2021,99.586,-0.66%,13249.93
16-03-2021,99.458,-0.13%,13232.96
17-03-2021,98.196,-1.27%,13064.98
18-03-2021,97.107,-1.11%,12920.10
19-03-2021,98.347,1.28%,13085.12
22-03-2021,98.303,-0.04%,13079.31
23-03-2021,98.838,0.54%,13150.38
24-03-2021,97.067,-1.79%,12914.84
25-03-2021,95.575,-1.54%,12716.33
26-03-2021,96.789,1.27%,12877.86
30-03-2021,99.036,2.32%,13176.82
