Date,Adj Close,%Change,Returns on 10000
20-08-2020,56.863,0.00%,10000
21-08-2020,58.093,2.16%,10216.2
24-08-2020,59.41,2.27%,10447.76
25-08-2020,59.417,0.01%,10449
26-08-2020,59.579,0.27%,10477.48
27-08-2020,59.137,-0.74%,10399.89
28-08-2020,58.319,-1.38%,10256.02
31-08-2020,56.123,-3.77%,9869.81
01-09-2020,56.718,1.06%,9974.45
02-09-2020,58.371,2.91%,10265.13
03-09-2020,58.072,-0.51%,10212.58
04-09-2020,57.212,-1.48%,10061.34
07-09-2020,57.292,0.14%,10075.27
08-09-2020,56.912,-0.66%,10008.46
09-09-2020,56.16,-1.32%,9876.28
10-09-2020,57.377,2.17%,10090.23
11-09-2020,58.659,2.24%,10315.81
14-09-2020,59.959,2.22%,10544.32
15-09-2020,60.559,1.00%,10649.82
16-09-2020,61.421,1.42%,10801.53
17-09-2020,61.811,0.63%,10870.05
18-09-2020,62.132,0.52%,10926.53
21-09-2020,59.462,-4.30%,10457.01
22-09-2020,58.681,-1.31%,10319.54
23-09-2020,59.042,0.62%,10383.09
24-09-2020,57.856,-2.01%,10174.51
25-09-2020,59.285,2.47%,10425.84
28-09-2020,60.909,2.74%,10711.42
29-09-2020,60.783,-0.21%,10689.21
30-09-2020,60.864,0.13%,10703.58
01-10-2020,61.29,0.70%,10778.37
05-10-2020,61.778,0.80%,10864.26
06-10-2020,62.174,0.64%,10933.87
07-10-2020,61.903,-0.44%,10886.21
08-10-2020,62.368,0.75%,10967.95
09-10-2020,62.046,-0.52%,10911.36
12-10-2020,62.028,-0.03%,10908.19
13-10-2020,61.992,-0.06%,10901.91
14-10-2020,61.918,-0.12%,10888.97
15-10-2020,60.626,-2.09%,10661.67
16-10-2020,60.92,0.48%,10713.34
19-10-2020,61.828,1.49%,10873.07
20-10-2020,62.036,0.34%,10909.55
21-10-2020,61.964,-0.11%,10897.03
22-10-2020,62.028,0.10%,10908.26
23-10-2020,62.67,1.03%,11021.15
26-10-2020,62.373,-0.47%,10968.81
27-10-2020,62.204,-0.27%,10939.23
28-10-2020,62.068,-0.22%,10915.19
29-10-2020,62.106,0.06%,10922.03
30-10-2020,62.292,0.30%,10954.62
02-11-2020,62.393,0.16%,10972.4
03-11-2020,62.341,-0.08%,10963.22
04-11-2020,62.331,-0.02%,10961.5
05-11-2020,63.259,1.49%,11124.78
06-11-2020,63.155,-0.17%,11106.4
09-11-2020,63.301,0.23%,11132.1
10-11-2020,62.066,-1.95%,10914.98
11-11-2020,62.701,1.02%,11026.53
12-11-2020,63.404,1.12%,11150.14
13-11-2020,64.175,1.22%,11285.82
17-11-2020,64.796,0.97%,11394.99
18-11-2020,64.799,0.00%,11395.54
19-11-2020,64.862,0.10%,11406.63
20-11-2020,64.986,0.19%,11428.49
23-11-2020,65.664,1.04%,11547.71
24-11-2020,66.199,0.81%,11641.81
25-11-2020,65.621,-0.87%,11540.09
26-11-2020,65.947,0.50%,11597.37
27-11-2020,66.602,0.99%,11712.57
01-12-2020,67.699,1.65%,11905.48
02-12-2020,68.333,0.94%,12016.95
03-12-2020,69.095,1.12%,12151.08
04-12-2020,69.345,0.36%,12194.98
07-12-2020,70.943,2.30%,12476.07
08-12-2020,70.987,0.06%,12483.77
09-12-2020,71.051,0.09%,12494.96
10-12-2020,70.794,-0.36%,12449.73
11-12-2020,70.733,-0.09%,12439.02
14-12-2020,70.88,0.21%,12464.94
15-12-2020,70.93,0.07%,12473.78
16-12-2020,71.271,0.48%,12533.66
17-12-2020,71.006,-0.37%,12487.06
18-12-2020,70.668,-0.48%,12427.57
21-12-2020,67.149,-4.98%,11808.86
22-12-2020,68.272,1.67%,12006.23
23-12-2020,70.027,2.57%,12314.93
24-12-2020,70.39,0.52%,12378.73
28-12-2020,71.824,2.04%,12631
29-12-2020,72.091,0.37%,12677.96
30-12-2020,72.061,-0.04%,12672.68
31-12-2020,71.982,-0.11%,12658.7
01-01-2021,72.675,0.96%,12780.61
04-01-2021,73.724,1.44%,12965.01
05-01-2021,74.433,0.96%,13089.84
06-01-2021,74.887,0.61%,13169.59
07-01-2021,74.779,-0.14%,13150.56
08-01-2021,75.862,1.45%,13341.09
11-01-2021,76.134,0.36%,13388.85
12-01-2021,76.347,0.28%,13426.31
13-01-2021,76.363,0.02%,13429.25
14-01-2021,76.926,0.74%,13528.24
