Date,Adj Close,%Change,Returns on 10000
20-08-2020,113.250,0.00%,10000.00
21-08-2020,114.955,1.51%,10150.54
24-08-2020,115.861,0.79%,10230.52
25-08-2020,116.175,0.27%,10258.26
26-08-2020,116.054,-0.10%,10247.60
27-08-2020,116.582,0.45%,10294.17
28-08-2020,116.966,0.33%,10328.12
31-08-2020,113.151,-3.26%,9991.21
01-09-2020,114.187,0.92%,10082.73
02-09-2020,115.339,1.01%,10184.42
03-09-2020,115.647,0.27%,10211.62
04-09-2020,114.301,-1.16%,10092.77
07-09-2020,113.825,-0.42%,10050.77
08-09-2020,112.771,-0.93%,9957.65
09-09-2020,112.027,-0.66%,9892.02
10-09-2020,113.340,1.17%,10007.92
11-09-2020,113.801,0.41%,10048.60
14-09-2020,116.638,2.49%,10299.10
15-09-2020,116.784,0.13%,10312.03
16-09-2020,116.914,0.11%,10323.50
17-09-2020,116.736,-0.15%,10307.75
18-09-2020,116.264,-0.40%,10266.10
21-09-2020,112.202,-3.49%,9907.44
22-09-2020,110.571,-1.45%,9763.40
23-09-2020,110.282,-0.26%,9737.89
24-09-2020,107.554,-2.47%,9497.03
25-09-2020,109.840,2.13%,9698.87
28-09-2020,111.902,1.88%,9880.98
29-09-2020,112.157,0.23%,9903.47
30-09-2020,111.956,-0.18%,9885.71
01-10-2020,112.962,0.90%,9974.54
05-10-2020,112.882,-0.07%,9967.48
06-10-2020,113.229,0.31%,9998.13
07-10-2020,113.184,-0.04%,9994.14
08-10-2020,112.494,-0.61%,9933.17
09-10-2020,112.260,-0.21%,9912.54
12-10-2020,111.410,-0.76%,9837.48
13-10-2020,111.323,-0.08%,9829.80
14-10-2020,111.760,0.39%,9868.42
15-10-2020,109.970,-1.60%,9710.33
16-10-2020,110.821,0.77%,9785.47
19-10-2020,111.557,0.66%,9850.46
20-10-2020,111.835,0.25%,9874.99
21-10-2020,112.057,0.20%,9894.58
22-10-2020,112.366,0.28%,9921.92
23-10-2020,113.759,1.24%,10044.94
26-10-2020,112.934,-0.73%,9972.09
27-10-2020,114.013,0.95%,10067.30
28-10-2020,113.635,-0.33%,10033.99
